"%s: Bad command line argument(s)\n";"%s: Argument(s) erronis a la línia d'ordres\n"
"Woman's Cart";"Llit de Dona"
"Year";"Any"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Sí"
"Yildun";""
"Zaniah";""
"Zaurak";""
"Zavijava";""
"Zibal";"Lliura"
"Zoom Duration: ";"Durada de l'escalat: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";"Durada de l'escalat: "
"Zoom out (planet and satellites views)";""
"Zoom to selected object";"Vés a l’objecte seleccionat [ESPAI]"
"Zosma";"Norma"
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"canvi per aplicar."
"kly";""
"ly";"Àguila"
