"%s: Bad command line argument(s)\n";"%s: (Các) đối số trong dòng lệnh sai\n"
"Thunderbolt";"Tiếng sét"
"Time Display Format: ";"Dạng thời gian hiển thị: "
"Time Zone :";"Múi thời gian :"
"Time and Date:";"Múi thời gian :"
"Time speed : ";"Tốc độ thời gian trôi : "
"Titania";"Titan"
"Toad";"Cá Kiếm"
"Toggle Moon Scaling";"Tỉ lệ thật mặt trăng"
"Toggle Script Recording";""
"Toggle Video Frame Recording";""
"Toggle fullscreen if possible.";""
"Toilet";"Nhà vệ sinh"
"Track Selected Object";""
"Triangle";"Tam giác"
"Triangulum";"Tam Giác"
"Triangulum Australe";"Tam Giác Phương Nam"
"Trinculo";"Tam Giác"
"Tripod";"Kiềng ba chân"
"Triton";"Titan"
"Tropic Lines";"Vết các hành tinh"
"Truncated Projection";"Hình chiếu :"
"Try `%s --help' for more information.\n";"Gõ `%s --help' để biết thêm thông tin.\n"
"Tucana";"Chim Tu-Căng"
"Turtle";"Rùa sông"
"Twinkling: ";"Nhấp nháy: "
"Two Jaws";"Hai hàm"
"Two Placed Far Apart";""
"Two Poles";"Hai cực"
"Two Sunbeams";"Hai hàm"
"Two in Front";""
"Type: ";"Loại: "
"USB Script: ";"Kịch bản "
"Umbriel";""
"Unselect";""
"Unukalhai";""
"Update me via Internet: ";"Cập nhật qua Internet: "
"Uranus";"Thiên vương tinh"
"Ursa Major";"Đại Hùng"
"Ursa Minor";"Tiểu Hùng"
"Using System Default Time Zone";"Sử dụng hệ thống múi thời gian mặc định"
"Uttarabhadrapad-1";""
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";"Kỳ Lân"
"Van Maanen 2";""
"Vashista";""
"Vega";"Buồm Tàu Argo"
"Vela";"Buồm Tàu Argo"
"Venus";"Kim tinh"
"Video Offset: ";""
"Video Shear: ";"Cây giáo"
"Vindemiatrix";""
"Virgo";"Trinh Nữ"
"Vishakha";""
"Voice of Joy";"Âm thanh vui mừng"
"Volans";"Cá Chuồn"
"Vulpecula";"Con Cáo"
"W";"T"
"Wall";"Bức tường"
"Wasat";""
"Wazn";""
"Weaving Girl";"Cô gái dệt"
"Well";"Giếng"
"Western";"Phương Tây"
"Western (color)";"Cửa Tây"
"Western (modern)";"Cửa Tây"
"Western Door";"Cửa Tây"
"Wezen";"Phương Tây"
"Willow";"Cây liễu"
"Wings";"Cánh"
"Winnowing Basket";"Giỏ lọc"
"Wolf's Mouth";""
"Woman's Bed";"Giường phụ nữ"
"Woman's Cart";"Giường phụ nữ"
"Year";"Năm"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Đúng"
"Yildun";""
"Zaniah";""
"Zaurak";""
"Zavijava";""
"Zibal";"Thiên Bình"
"Zoom Duration: ";"Khoảng thời gian phóng to/thu nhỏ: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";"Khoảng thời gian phóng to/thu nhỏ: "
"Zoom out (planet and satellites views)";""
"Zoom to selected object";"Di chuyển đến vật thể đã chọn [SPACE]"
"Zosma";"Thước Đo Độ Bằng"
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"thay đổi để ghi nhận."
"kly";""
"ly";"Đại Bàng"
